task_id,asset_id,department,section_id,task_type,priority_class,required_duration_min,overdue_days,safety_critical,crew_type
TSK_AST_40,AST_40,SMT,SEC4,PREVENTIVE,P2,60,9,False,CREW_SMT
TSK_AST_41,AST_41,ENGINEERING,SEC4,CORRECTIVE,P1,60,0,False,CREW_ENGINEERING
TSK_AST_42,AST_42,SMT,SEC3,PREVENTIVE,P2,60,0,False,CREW_SMT
TSK_AST_43,AST_43,ENGINEERING,SEC4,PREVENTIVE,P2,240,0,False,CREW_ENGINEERING
TSK_AST_44,AST_44,ENGINEERING,SEC1,CORRECTIVE,P1,120,0,False,CREW_ENGINEERING
TSK_AST_46,AST_46,TRD,SEC4,PREVENTIVE,P3,60,25,False,CREW_TRD
TSK_AST_49,AST_49,ENGINEERING,SEC2,CORRECTIVE,P3,60,0,False,CREW_ENGINEERING
TSK_AST_50,AST_50,SMT,SEC3,CORRECTIVE,P1,120,15,False,CREW_SMT
TSK_AST_52,AST_52,ENGINEERING,SEC1,CORRECTIVE,P2,120,22,False,CREW_ENGINEERING
TSK_AST_54,AST_54,SMT,SEC4,PREVENTIVE,P2,60,0,True,CREW_SMT
TSK_AST_55,AST_55,ENGINEERING,SEC4,CORRECTIVE,P1,60,17,True,CREW_ENGINEERING
TSK_AST_56,AST_56,SMT,SEC1,PREVENTIVE,P3,60,28,False,CREW_SMT
TSK_AST_57,AST_57,ENGINEERING,SEC4,PREVENTIVE,P2,240,27,False,CREW_ENGINEERING
TSK_AST_58,AST_58,TRD,SEC1,PREVENTIVE,P1,180,5,True,CREW_TRD
TSK_AST_59,AST_59,ENGINEERING,SEC3,PREVENTIVE,P3,60,15,False,CREW_ENGINEERING
TSK_AST_60,AST_60,ENGINEERING,SEC1,PREVENTIVE,P3,240,2,False,CREW_ENGINEERING
TSK_AST_62,AST_62,SMT,SEC3,PREVENTIVE,P2,120,14,False,CREW_SMT
TSK_AST_63,AST_63,ENGINEERING,SEC1,PREVENTIVE,P2,180,0,False,CREW_ENGINEERING
TSK_AST_64,AST_64,ENGINEERING,SEC1,PREVENTIVE,P1,180,0,False,CREW_ENGINEERING
TSK_AST_66,AST_66,TRD,SEC1,PREVENTIVE,P1,120,0,True,CREW_TRD
TSK_AST_67,AST_67,SMT,SEC2,CORRECTIVE,P2,180,16,False,CREW_SMT
TSK_AST_71,AST_71,TRD,SEC3,PREVENTIVE,P2,180,7,True,CREW_TRD
TSK_AST_72,AST_72,ENGINEERING,SEC1,PREVENTIVE,P2,60,24,False,CREW_ENGINEERING
TSK_AST_73,AST_73,ENGINEERING,SEC2,PREVENTIVE,P3,240,11,False,CREW_ENGINEERING
TSK_AST_77,AST_77,TRD,SEC4,CORRECTIVE,P3,240,11,False,CREW_TRD
TSK_AST_79,AST_79,ENGINEERING,SEC1,PREVENTIVE,P2,60,0,False,CREW_ENGINEERING
TSK_AST_80,AST_80,SMT,SEC2,CORRECTIVE,P3,240,0,True,CREW_SMT
TSK_AST_83,AST_83,TRD,SEC1,PREVENTIVE,P2,60,0,False,CREW_TRD
TSK_AST_86,AST_86,ENGINEERING,SEC2,CORRECTIVE,P3,120,4,True,CREW_ENGINEERING
TSK_AST_91,AST_91,ENGINEERING,SEC1,PREVENTIVE,P3,240,23,True,CREW_ENGINEERING
TSK_AST_92,AST_92,SMT,SEC2,PREVENTIVE,P2,60,4,False,CREW_SMT
TSK_AST_94,AST_94,ENGINEERING,SEC4,CORRECTIVE,P2,240,0,True,CREW_ENGINEERING
TSK_AST_97,AST_97,ENGINEERING,SEC3,PREVENTIVE,P2,240,0,False,CREW_ENGINEERING
TSK_AST_99,AST_99,TRD,SEC4,PREVENTIVE,P3,180,0,False,CREW_TRD
TSK_AST_100,AST_100,TRD,SEC4,CORRECTIVE,P1,180,0,True,CREW_TRD
TSK_AST_101,AST_101,SMT,SEC3,PREVENTIVE,P2,60,24,False,CREW_SMT
TSK_AST_102,AST_102,SMT,SEC1,PREVENTIVE,P2,120,14,False,CREW_SMT
TSK_AST_105,AST_105,ENGINEERING,SEC4,PREVENTIVE,P2,120,0,False,CREW_ENGINEERING
TSK_AST_106,AST_106,SMT,SEC3,PREVENTIVE,P3,120,0,True,CREW_SMT
TSK_AST_107,AST_107,SMT,SEC4,CORRECTIVE,P1,240,16,False,CREW_SMT
TSK_AST_108,AST_108,TRD,SEC4,CORRECTIVE,P2,120,5,False,CREW_TRD
TSK_AST_109,AST_109,TRD,SEC3,PREVENTIVE,P3,240,0,True,CREW_TRD
TSK_AST_110,AST_110,ENGINEERING,SEC1,PREVENTIVE,P2,60,21,True,CREW_ENGINEERING
TSK_AST_111,AST_111,SMT,SEC1,PREVENTIVE,P1,60,0,False,CREW_SMT
TSK_AST_113,AST_113,SMT,SEC4,CORRECTIVE,P3,240,0,False,CREW_SMT
TSK_AST_116,AST_116,ENGINEERING,SEC1,PREVENTIVE,P3,120,17,False,CREW_ENGINEERING
TSK_AST_119,AST_119,ENGINEERING,SEC4,PREVENTIVE,P3,120,0,False,CREW_ENGINEERING
TSK_AST_121,AST_121,TRD,SEC3,PREVENTIVE,P2,60,8,True,CREW_TRD
TSK_AST_124,AST_124,TRD,SEC4,PREVENTIVE,P3,240,21,False,CREW_TRD
TSK_AST_125,AST_125,TRD,SEC2,PREVENTIVE,P1,60,15,False,CREW_TRD
TSK_AST_128,AST_128,TRD,SEC1,CORRECTIVE,P2,240,0,False,CREW_TRD
TSK_AST_132,AST_132,SMT,SEC4,PREVENTIVE,P3,60,0,False,CREW_SMT
TSK_AST_133,AST_133,SMT,SEC1,PREVENTIVE,P1,120,10,False,CREW_SMT
TSK_AST_134,AST_134,TRD,SEC2,PREVENTIVE,P3,120,0,True,CREW_TRD
TSK_AST_135,AST_135,SMT,SEC2,CORRECTIVE,P2,180,7,False,CREW_SMT
TSK_AST_137,AST_137,ENGINEERING,SEC4,CORRECTIVE,P2,60,0,False,CREW_ENGINEERING
TSK_AST_139,AST_139,SMT,SEC2,PREVENTIVE,P1,240,13,False,CREW_SMT
TSK_AST_144,AST_144,SMT,SEC3,CORRECTIVE,P2,60,0,False,CREW_SMT
TSK_AST_148,AST_148,SMT,SEC2,PREVENTIVE,P3,180,0,False,CREW_SMT
TSK_AST_150,AST_150,SMT,SEC1,PREVENTIVE,P1,180,0,False,CREW_SMT
TSK_AST_151,AST_151,SMT,SEC1,CORRECTIVE,P2,120,1,False,CREW_SMT
TSK_AST_153,AST_153,SMT,SEC2,CORRECTIVE,P2,180,0,False,CREW_SMT
TSK_AST_154,AST_154,TRD,SEC2,CORRECTIVE,P2,180,0,False,CREW_TRD
TSK_AST_155,AST_155,TRD,SEC1,CORRECTIVE,P2,180,6,False,CREW_TRD
TSK_AST_157,AST_157,ENGINEERING,SEC3,CORRECTIVE,P2,120,18,False,CREW_ENGINEERING
TSK_AST_158,AST_158,SMT,SEC1,PREVENTIVE,P2,180,0,True,CREW_SMT
TSK_AST_163,AST_163,SMT,SEC3,PREVENTIVE,P3,120,13,False,CREW_SMT
TSK_AST_168,AST_168,ENGINEERING,SEC4,PREVENTIVE,P3,240,23,False,CREW_ENGINEERING
TSK_AST_169,AST_169,ENGINEERING,SEC4,PREVENTIVE,P1,240,0,False,CREW_ENGINEERING
TSK_AST_170,AST_170,SMT,SEC2,CORRECTIVE,P2,180,12,True,CREW_SMT
TSK_AST_172,AST_172,ENGINEERING,SEC4,PREVENTIVE,P2,120,0,False,CREW_ENGINEERING
TSK_AST_175,AST_175,SMT,SEC3,CORRECTIVE,P3,60,0,True,CREW_SMT
TSK_AST_178,AST_178,SMT,SEC2,PREVENTIVE,P2,120,29,False,CREW_SMT
TSK_AST_181,AST_181,ENGINEERING,SEC1,CORRECTIVE,P1,180,0,False,CREW_ENGINEERING
TSK_AST_182,AST_182,SMT,SEC2,PREVENTIVE,P2,240,28,False,CREW_SMT
TSK_AST_183,AST_183,TRD,SEC3,PREVENTIVE,P2,180,0,False,CREW_TRD
TSK_AST_186,AST_186,SMT,SEC1,PREVENTIVE,P2,60,8,True,CREW_SMT
TSK_AST_187,AST_187,TRD,SEC2,PREVENTIVE,P1,120,17,False,CREW_TRD
TSK_AST_188,AST_188,ENGINEERING,SEC2,CORRECTIVE,P1,180,27,False,CREW_ENGINEERING
TSK_AST_189,AST_189,TRD,SEC3,CORRECTIVE,P1,240,0,True,CREW_TRD
TSK_AST_190,AST_190,TRD,SEC3,CORRECTIVE,P1,240,2,False,CREW_TRD
TSK_AST_191,AST_191,TRD,SEC1,PREVENTIVE,P1,60,18,False,CREW_TRD
TSK_AST_192,AST_192,TRD,SEC4,CORRECTIVE,P2,120,0,False,CREW_TRD
TSK_AST_193,AST_193,SMT,SEC1,PREVENTIVE,P3,60,0,True,CREW_SMT
TSK_AST_194,AST_194,ENGINEERING,SEC4,CORRECTIVE,P2,240,0,False,CREW_ENGINEERING
TSK_AST_195,AST_195,SMT,SEC4,PREVENTIVE,P2,60,0,False,CREW_SMT
TSK_AST_197,AST_197,SMT,SEC4,PREVENTIVE,P3,180,0,False,CREW_SMT
TSK_AST_199,AST_199,TRD,SEC1,PREVENTIVE,P1,60,0,False,CREW_TRD
