id,train_id,section_id,service_date,scheduled_entry,scheduled_exit,train_type,priority_class
MV_TRN_16_SEC1_1,TRN_16,SEC1,2026-09-08,2026-09-08 13:03:00,2026-09-08 14:00:00,PASSENGER,MEDIUM
MV_TRN_17_SEC4_1,TRN_17,SEC4,2026-09-08,2026-09-08 14:46:00,2026-09-08 15:37:00,EXPRESS,HIGH
MV_TRN_18_SEC1_1,TRN_18,SEC1,2026-09-08,2026-09-08 15:31:00,2026-09-08 15:55:00,PASSENGER,MEDIUM
MV_TRN_19_SEC4_1,TRN_19,SEC4,2026-09-08,2026-09-08 07:56:00,2026-09-08 08:32:00,PASSENGER,MEDIUM
MV_TRN_20_SEC4_1,TRN_20,SEC4,2026-09-08,2026-09-08 08:17:00,2026-09-08 08:40:00,FREIGHT,LOW
MV_TRN_21_SEC4_1,TRN_21,SEC4,2026-09-08,2026-09-08 17:12:00,2026-09-08 18:00:00,FREIGHT,LOW
MV_TRN_22_SEC4_1,TRN_22,SEC4,2026-09-08,2026-09-08 03:18:00,2026-09-08 03:59:00,FREIGHT,LOW
MV_TRN_23_SEC4_1,TRN_23,SEC4,2026-09-08,2026-09-08 03:02:00,2026-09-08 03:25:00,PASSENGER,MEDIUM
MV_TRN_24_SEC1_1,TRN_24,SEC1,2026-09-08,2026-09-08 13:02:00,2026-09-08 13:18:00,FREIGHT,LOW
MV_TRN_25_SEC3_1,TRN_25,SEC3,2026-09-08,2026-09-08 01:54:00,2026-09-08 02:42:00,PASSENGER,MEDIUM
MV_TRN_26_SEC4_1,TRN_26,SEC4,2026-09-08,2026-09-08 02:29:00,2026-09-08 03:14:00,PASSENGER,MEDIUM
MV_TRN_27_SEC1_1,TRN_27,SEC1,2026-09-08,2026-09-08 18:30:00,2026-09-08 19:13:00,PASSENGER,MEDIUM
MV_TRN_28_SEC1_1,TRN_28,SEC1,2026-09-08,2026-09-08 21:53:00,2026-09-08 22:21:00,FREIGHT,LOW
MV_TRN_29_SEC1_1,TRN_29,SEC1,2026-09-08,2026-09-08 14:16:00,2026-09-08 14:50:00,FREIGHT,LOW
MV_TRN_30_SEC1_1,TRN_30,SEC1,2026-09-08,2026-09-08 01:13:00,2026-09-08 01:48:00,PASSENGER,MEDIUM
MV_TRN_31_SEC1_1,TRN_31,SEC1,2026-09-08,2026-09-08 15:29:00,2026-09-08 16:04:00,EXPRESS,HIGH
MV_TRN_32_SEC3_1,TRN_32,SEC3,2026-09-08,2026-09-08 03:44:00,2026-09-08 04:31:00,PASSENGER,MEDIUM
MV_TRN_33_SEC1_1,TRN_33,SEC1,2026-09-08,2026-09-08 19:48:00,2026-09-08 20:12:00,PASSENGER,MEDIUM
MV_TRN_34_SEC3_1,TRN_34,SEC3,2026-09-08,2026-09-08 01:15:00,2026-09-08 01:37:00,EXPRESS,HIGH
MV_TRN_35_SEC4_1,TRN_35,SEC4,2026-09-08,2026-09-08 08:40:00,2026-09-08 09:25:00,FREIGHT,LOW
MV_TRN_36_SEC4_1,TRN_36,SEC4,2026-09-08,2026-09-08 16:28:00,2026-09-08 17:08:00,EXPRESS,HIGH
MV_TRN_37_SEC4_1,TRN_37,SEC4,2026-09-08,2026-09-08 08:25:00,2026-09-08 08:48:00,PASSENGER,MEDIUM
MV_TRN_38_SEC4_1,TRN_38,SEC4,2026-09-08,2026-09-08 10:03:00,2026-09-08 10:46:00,PASSENGER,MEDIUM
MV_TRN_39_SEC1_1,TRN_39,SEC1,2026-09-08,2026-09-08 02:36:00,2026-09-08 03:11:00,EXPRESS,HIGH
MV_TRN_40_SEC4_1,TRN_40,SEC4,2026-09-08,2026-09-08 15:03:00,2026-09-08 15:32:00,EXPRESS,HIGH
MV_TRN_41_SEC2_1,TRN_41,SEC2,2026-09-08,2026-09-08 20:13:00,2026-09-08 20:30:00,EXPRESS,HIGH
MV_TRN_42_SEC2_1,TRN_42,SEC2,2026-09-08,2026-09-08 09:03:00,2026-09-08 09:59:00,EXPRESS,HIGH
MV_TRN_43_SEC2_1,TRN_43,SEC2,2026-09-08,2026-09-08 09:44:00,2026-09-08 10:42:00,EXPRESS,HIGH
MV_TRN_44_SEC2_1,TRN_44,SEC2,2026-09-08,2026-09-08 08:56:00,2026-09-08 09:29:00,FREIGHT,LOW
MV_TRN_45_SEC4_1,TRN_45,SEC4,2026-09-08,2026-09-08 14:54:00,2026-09-08 15:21:00,PASSENGER,MEDIUM
MV_TRN_46_SEC3_1,TRN_46,SEC3,2026-09-08,2026-09-08 18:08:00,2026-09-08 19:02:00,PASSENGER,MEDIUM
MV_TRN_47_SEC1_1,TRN_47,SEC1,2026-09-08,2026-09-08 07:09:00,2026-09-08 07:58:00,FREIGHT,LOW
MV_TRN_48_SEC4_1,TRN_48,SEC4,2026-09-08,2026-09-08 08:18:00,2026-09-08 08:43:00,FREIGHT,LOW
MV_TRN_49_SEC1_1,TRN_49,SEC1,2026-09-08,2026-09-08 10:47:00,2026-09-08 11:25:00,FREIGHT,LOW
MV_TRN_0_SEC2_2,TRN_0,SEC2,2026-09-09,2026-09-09 17:14:00,2026-09-09 18:13:00,FREIGHT,LOW
MV_TRN_1_SEC2_2,TRN_1,SEC2,2026-09-09,2026-09-09 11:50:00,2026-09-09 12:12:00,FREIGHT,LOW
MV_TRN_2_SEC1_2,TRN_2,SEC1,2026-09-09,2026-09-09 03:40:00,2026-09-09 04:11:00,PASSENGER,MEDIUM
MV_TRN_3_SEC4_2,TRN_3,SEC4,2026-09-09,2026-09-09 03:07:00,2026-09-09 03:48:00,EXPRESS,HIGH
MV_TRN_4_SEC4_2,TRN_4,SEC4,2026-09-09,2026-09-09 01:56:00,2026-09-09 02:37:00,PASSENGER,MEDIUM
MV_TRN_5_SEC3_2,TRN_5,SEC3,2026-09-09,2026-09-09 08:21:00,2026-09-09 08:45:00,FREIGHT,LOW
MV_TRN_6_SEC3_2,TRN_6,SEC3,2026-09-09,2026-09-09 03:11:00,2026-09-09 03:32:00,FREIGHT,LOW
MV_TRN_7_SEC3_2,TRN_7,SEC3,2026-09-09,2026-09-09 09:07:00,2026-09-09 09:59:00,PASSENGER,MEDIUM
MV_TRN_8_SEC1_2,TRN_8,SEC1,2026-09-09,2026-09-09 09:39:00,2026-09-09 10:15:00,EXPRESS,HIGH
MV_TRN_9_SEC3_2,TRN_9,SEC3,2026-09-09,2026-09-09 18:10:00,2026-09-09 18:49:00,FREIGHT,LOW
MV_TRN_10_SEC4_2,TRN_10,SEC4,2026-09-09,2026-09-09 18:52:00,2026-09-09 19:46:00,PASSENGER,MEDIUM
MV_TRN_11_SEC4_2,TRN_11,SEC4,2026-09-09,2026-09-09 22:25:00,2026-09-09 23:07:00,EXPRESS,HIGH
MV_TRN_12_SEC4_2,TRN_12,SEC4,2026-09-09,2026-09-09 17:02:00,2026-09-09 17:50:00,FREIGHT,LOW
MV_TRN_13_SEC3_2,TRN_13,SEC3,2026-09-09,2026-09-09 16:57:00,2026-09-09 17:37:00,FREIGHT,LOW
MV_TRN_14_SEC1_2,TRN_14,SEC1,2026-09-09,2026-09-09 06:14:00,2026-09-09 06:59:00,FREIGHT,LOW
MV_TRN_15_SEC1_2,TRN_15,SEC1,2026-09-09,2026-09-09 01:27:00,2026-09-09 02:10:00,EXPRESS,HIGH
MV_TRN_16_SEC1_2,TRN_16,SEC1,2026-09-09,2026-09-09 19:47:00,2026-09-09 20:23:00,PASSENGER,MEDIUM
MV_TRN_17_SEC4_2,TRN_17,SEC4,2026-09-09,2026-09-09 11:24:00,2026-09-09 11:42:00,EXPRESS,HIGH
MV_TRN_18_SEC2_2,TRN_18,SEC2,2026-09-09,2026-09-09 07:34:00,2026-09-09 08:03:00,PASSENGER,MEDIUM
MV_TRN_19_SEC3_2,TRN_19,SEC3,2026-09-09,2026-09-09 18:35:00,2026-09-09 19:34:00,EXPRESS,HIGH
MV_TRN_20_SEC3_2,TRN_20,SEC3,2026-09-09,2026-09-09 22:43:00,2026-09-09 23:19:00,PASSENGER,MEDIUM
MV_TRN_21_SEC3_2,TRN_21,SEC3,2026-09-09,2026-09-09 17:16:00,2026-09-09 17:36:00,PASSENGER,MEDIUM
MV_TRN_22_SEC4_2,TRN_22,SEC4,2026-09-09,2026-09-09 11:11:00,2026-09-09 12:10:00,PASSENGER,MEDIUM
MV_TRN_23_SEC2_2,TRN_23,SEC2,2026-09-09,2026-09-09 18:38:00,2026-09-09 18:53:00,PASSENGER,MEDIUM
MV_TRN_24_SEC2_2,TRN_24,SEC2,2026-09-09,2026-09-09 18:28:00,2026-09-09 19:08:00,EXPRESS,HIGH
MV_TRN_25_SEC1_2,TRN_25,SEC1,2026-09-09,2026-09-09 11:21:00,2026-09-09 12:09:00,FREIGHT,LOW
MV_TRN_26_SEC1_2,TRN_26,SEC1,2026-09-09,2026-09-09 12:13:00,2026-09-09 12:43:00,FREIGHT,LOW
MV_TRN_27_SEC2_2,TRN_27,SEC2,2026-09-09,2026-09-09 12:15:00,2026-09-09 12:59:00,EXPRESS,HIGH
MV_TRN_28_SEC3_2,TRN_28,SEC3,2026-09-09,2026-09-09 15:05:00,2026-09-09 15:38:00,EXPRESS,HIGH
MV_TRN_29_SEC2_2,TRN_29,SEC2,2026-09-09,2026-09-09 13:58:00,2026-09-09 14:18:00,FREIGHT,LOW
MV_TRN_30_SEC1_2,TRN_30,SEC1,2026-09-09,2026-09-09 17:17:00,2026-09-09 17:46:00,FREIGHT,LOW
MV_TRN_31_SEC3_2,TRN_31,SEC3,2026-09-09,2026-09-09 09:50:00,2026-09-09 10:37:00,PASSENGER,MEDIUM
MV_TRN_32_SEC3_2,TRN_32,SEC3,2026-09-09,2026-09-09 02:28:00,2026-09-09 03:07:00,PASSENGER,MEDIUM
MV_TRN_33_SEC4_2,TRN_33,SEC4,2026-09-09,2026-09-09 07:47:00,2026-09-09 08:44:00,PASSENGER,MEDIUM
MV_TRN_34_SEC3_2,TRN_34,SEC3,2026-09-09,2026-09-09 14:54:00,2026-09-09 15:46:00,FREIGHT,LOW
MV_TRN_35_SEC3_2,TRN_35,SEC3,2026-09-09,2026-09-09 17:50:00,2026-09-09 18:08:00,EXPRESS,HIGH
MV_TRN_36_SEC3_2,TRN_36,SEC3,2026-09-09,2026-09-09 15:41:00,2026-09-09 16:21:00,FREIGHT,LOW
MV_TRN_37_SEC2_2,TRN_37,SEC2,2026-09-09,2026-09-09 18:23:00,2026-09-09 19:16:00,FREIGHT,LOW
MV_TRN_38_SEC2_2,TRN_38,SEC2,2026-09-09,2026-09-09 20:43:00,2026-09-09 21:16:00,EXPRESS,HIGH
MV_TRN_39_SEC3_2,TRN_39,SEC3,2026-09-09,2026-09-09 16:36:00,2026-09-09 17:32:00,PASSENGER,MEDIUM
MV_TRN_40_SEC2_2,TRN_40,SEC2,2026-09-09,2026-09-09 12:05:00,2026-09-09 12:27:00,PASSENGER,MEDIUM
MV_TRN_41_SEC3_2,TRN_41,SEC3,2026-09-09,2026-09-09 16:49:00,2026-09-09 17:45:00,PASSENGER,MEDIUM
MV_TRN_42_SEC3_2,TRN_42,SEC3,2026-09-09,2026-09-09 11:29:00,2026-09-09 12:21:00,EXPRESS,HIGH
MV_TRN_43_SEC1_2,TRN_43,SEC1,2026-09-09,2026-09-09 21:14:00,2026-09-09 22:12:00,PASSENGER,MEDIUM
MV_TRN_44_SEC4_2,TRN_44,SEC4,2026-09-09,2026-09-09 00:49:00,2026-09-09 01:39:00,EXPRESS,HIGH
MV_TRN_45_SEC2_2,TRN_45,SEC2,2026-09-09,2026-09-09 07:45:00,2026-09-09 08:05:00,EXPRESS,HIGH
MV_TRN_46_SEC1_2,TRN_46,SEC1,2026-09-09,2026-09-09 18:24:00,2026-09-09 19:07:00,EXPRESS,HIGH
MV_TRN_47_SEC3_2,TRN_47,SEC3,2026-09-09,2026-09-09 12:38:00,2026-09-09 13:24:00,PASSENGER,MEDIUM
MV_TRN_48_SEC2_2,TRN_48,SEC2,2026-09-09,2026-09-09 20:17:00,2026-09-09 20:49:00,PASSENGER,MEDIUM
MV_TRN_49_SEC2_2,TRN_49,SEC2,2026-09-09,2026-09-09 02:50:00,2026-09-09 03:18:00,PASSENGER,MEDIUM
MV_TRN_0_SEC2_3,TRN_0,SEC2,2026-09-10,2026-09-10 12:37:00,2026-09-10 13:16:00,PASSENGER,MEDIUM
MV_TRN_1_SEC3_3,TRN_1,SEC3,2026-09-10,2026-09-10 21:50:00,2026-09-10 22:13:00,FREIGHT,LOW
MV_TRN_2_SEC2_3,TRN_2,SEC2,2026-09-10,2026-09-10 08:24:00,2026-09-10 09:06:00,FREIGHT,LOW
MV_TRN_3_SEC1_3,TRN_3,SEC1,2026-09-10,2026-09-10 10:56:00,2026-09-10 11:28:00,EXPRESS,HIGH
MV_TRN_4_SEC4_3,TRN_4,SEC4,2026-09-10,2026-09-10 01:45:00,2026-09-10 02:41:00,PASSENGER,MEDIUM
MV_TRN_5_SEC2_3,TRN_5,SEC2,2026-09-10,2026-09-10 10:30:00,2026-09-10 11:02:00,PASSENGER,MEDIUM
MV_TRN_6_SEC3_3,TRN_6,SEC3,2026-09-10,2026-09-10 03:07:00,2026-09-10 03:33:00,EXPRESS,HIGH
MV_TRN_7_SEC2_3,TRN_7,SEC2,2026-09-10,2026-09-10 14:19:00,2026-09-10 14:45:00,PASSENGER,MEDIUM
MV_TRN_8_SEC1_3,TRN_8,SEC1,2026-09-10,2026-09-10 12:28:00,2026-09-10 13:10:00,FREIGHT,LOW
MV_TRN_9_SEC3_3,TRN_9,SEC3,2026-09-10,2026-09-10 02:36:00,2026-09-10 03:14:00,EXPRESS,HIGH
MV_TRN_10_SEC4_3,TRN_10,SEC4,2026-09-10,2026-09-10 20:44:00,2026-09-10 21:33:00,EXPRESS,HIGH
MV_TRN_11_SEC1_3,TRN_11,SEC1,2026-09-10,2026-09-10 06:31:00,2026-09-10 07:13:00,PASSENGER,MEDIUM
MV_TRN_12_SEC1_3,TRN_12,SEC1,2026-09-10,2026-09-10 22:55:00,2026-09-10 23:43:00,EXPRESS,HIGH
MV_TRN_13_SEC2_3,TRN_13,SEC2,2026-09-10,2026-09-10 04:43:00,2026-09-10 05:04:00,PASSENGER,MEDIUM
MV_TRN_14_SEC3_3,TRN_14,SEC3,2026-09-10,2026-09-10 09:39:00,2026-09-10 10:11:00,PASSENGER,MEDIUM
MV_TRN_15_SEC2_3,TRN_15,SEC2,2026-09-10,2026-09-10 07:53:00,2026-09-10 08:19:00,PASSENGER,MEDIUM
MV_TRN_16_SEC3_3,TRN_16,SEC3,2026-09-10,2026-09-10 14:00:00,2026-09-10 14:43:00,FREIGHT,LOW
MV_TRN_17_SEC4_3,TRN_17,SEC4,2026-09-10,2026-09-10 18:08:00,2026-09-10 18:57:00,EXPRESS,HIGH
MV_TRN_18_SEC1_3,TRN_18,SEC1,2026-09-10,2026-09-10 17:55:00,2026-09-10 18:35:00,EXPRESS,HIGH
MV_TRN_19_SEC1_3,TRN_19,SEC1,2026-09-10,2026-09-10 16:37:00,2026-09-10 17:16:00,PASSENGER,MEDIUM
MV_TRN_20_SEC4_3,TRN_20,SEC4,2026-09-10,2026-09-10 15:08:00,2026-09-10 16:06:00,EXPRESS,HIGH
MV_TRN_21_SEC3_3,TRN_21,SEC3,2026-09-10,2026-09-10 08:48:00,2026-09-10 09:44:00,EXPRESS,HIGH
MV_TRN_22_SEC1_3,TRN_22,SEC1,2026-09-10,2026-09-10 12:12:00,2026-09-10 12:38:00,PASSENGER,MEDIUM
MV_TRN_23_SEC1_3,TRN_23,SEC1,2026-09-10,2026-09-10 22:56:00,2026-09-10 23:19:00,PASSENGER,MEDIUM
MV_TRN_24_SEC1_3,TRN_24,SEC1,2026-09-10,2026-09-10 00:13:00,2026-09-10 00:54:00,EXPRESS,HIGH
MV_TRN_25_SEC2_3,TRN_25,SEC2,2026-09-10,2026-09-10 20:21:00,2026-09-10 20:53:00,EXPRESS,HIGH
MV_TRN_26_SEC1_3,TRN_26,SEC1,2026-09-10,2026-09-10 01:17:00,2026-09-10 02:09:00,PASSENGER,MEDIUM
MV_TRN_27_SEC3_3,TRN_27,SEC3,2026-09-10,2026-09-10 13:34:00,2026-09-10 14:27:00,EXPRESS,HIGH
MV_TRN_28_SEC2_3,TRN_28,SEC2,2026-09-10,2026-09-10 15:48:00,2026-09-10 16:16:00,EXPRESS,HIGH
MV_TRN_29_SEC3_3,TRN_29,SEC3,2026-09-10,2026-09-10 19:05:00,2026-09-10 19:33:00,PASSENGER,MEDIUM
MV_TRN_30_SEC2_3,TRN_30,SEC2,2026-09-10,2026-09-10 08:29:00,2026-09-10 09:26:00,PASSENGER,MEDIUM
MV_TRN_31_SEC4_3,TRN_31,SEC4,2026-09-10,2026-09-10 02:14:00,2026-09-10 02:49:00,EXPRESS,HIGH
MV_TRN_32_SEC1_3,TRN_32,SEC1,2026-09-10,2026-09-10 10:16:00,2026-09-10 10:35:00,EXPRESS,HIGH
MV_TRN_33_SEC4_3,TRN_33,SEC4,2026-09-10,2026-09-10 13:50:00,2026-09-10 14:34:00,FREIGHT,LOW
MV_TRN_34_SEC2_3,TRN_34,SEC2,2026-09-10,2026-09-10 19:48:00,2026-09-10 20:28:00,EXPRESS,HIGH
MV_TRN_35_SEC1_3,TRN_35,SEC1,2026-09-10,2026-09-10 09:06:00,2026-09-10 09:36:00,FREIGHT,LOW
MV_TRN_36_SEC2_3,TRN_36,SEC2,2026-09-10,2026-09-10 22:53:00,2026-09-10 23:33:00,EXPRESS,HIGH
MV_TRN_37_SEC1_3,TRN_37,SEC1,2026-09-10,2026-09-10 07:26:00,2026-09-10 08:24:00,EXPRESS,HIGH
MV_TRN_38_SEC2_3,TRN_38,SEC2,2026-09-10,2026-09-10 21:38:00,2026-09-10 22:11:00,EXPRESS,HIGH
MV_TRN_39_SEC3_3,TRN_39,SEC3,2026-09-10,2026-09-10 04:46:00,2026-09-10 05:34:00,PASSENGER,MEDIUM
MV_TRN_40_SEC4_3,TRN_40,SEC4,2026-09-10,2026-09-10 01:28:00,2026-09-10 02:21:00,FREIGHT,LOW
