asset_id,asset_type,department,section_id,location_from_km,installation_date,criticality_class,safety_flag,condition_score,days_since_maintenance,defect_history,traffic_load
AST_39,TRACK,ENGINEERING,SEC1,1.63,2017-10-10,LOW,False,0.92,169,2,133
AST_40,RELAY,SMT,SEC4,1.29,2012-08-14,MEDIUM,False,0.63,177,1,92
AST_41,TRACK,ENGINEERING,SEC4,1.01,2019-02-07,HIGH,False,0.44,273,4,139
AST_42,TRACK_CIRCUIT,SMT,SEC3,2.82,2018-12-12,MEDIUM,False,0.96,226,4,187
AST_43,TRACK,ENGINEERING,SEC4,8.07,2013-01-27,MEDIUM,False,0.87,161,4,61
AST_44,BRIDGE,ENGINEERING,SEC1,7.4,2017-12-24,HIGH,False,0.7,226,4,68
AST_45,TRACK,ENGINEERING,SEC1,8.47,2010-09-22,MEDIUM,False,0.97,153,4,118
AST_46,OHE_MAST,TRD,SEC4,6.73,2019-09-26,LOW,False,0.47,190,1,191
AST_47,CANTILEVER,TRD,SEC1,7.37,2012-01-03,MEDIUM,True,0.49,83,1,194
AST_48,POINT,ENGINEERING,SEC3,4.26,2013-04-06,HIGH,False,0.82,14,4,132
AST_49,TRACK,ENGINEERING,SEC2,8.13,2011-05-26,LOW,False,0.61,261,2,157
AST_50,RELAY,SMT,SEC3,2.49,2019-11-12,HIGH,False,0.41,229,1,197
AST_51,BRIDGE,ENGINEERING,SEC1,7.44,2016-08-31,MEDIUM,False,0.62,126,1,93
AST_52,TRACK,ENGINEERING,SEC1,3.23,2010-03-21,MEDIUM,False,0.44,236,2,69
AST_53,POINT,ENGINEERING,SEC3,6.29,2014-03-30,MEDIUM,False,0.82,268,0,61
AST_54,TRACK_CIRCUIT,SMT,SEC4,1.07,2011-01-08,MEDIUM,True,0.68,195,3,77
AST_55,TRACK,ENGINEERING,SEC4,9.86,2016-12-24,HIGH,True,0.65,229,4,190
AST_56,RELAY,SMT,SEC1,9.41,2018-01-09,LOW,False,0.65,295,1,158
AST_57,BRIDGE,ENGINEERING,SEC4,3.76,2018-08-03,MEDIUM,False,0.63,291,0,135
AST_58,INSULATOR,TRD,SEC1,8.38,2014-06-22,HIGH,True,0.41,15,3,144
AST_59,POINT,ENGINEERING,SEC3,5.55,2018-05-03,LOW,False,0.63,94,0,159
AST_60,BRIDGE,ENGINEERING,SEC1,6.06,2014-01-09,LOW,False,0.43,104,1,167
AST_61,INSULATOR,TRD,SEC2,8.52,2012-12-13,LOW,True,0.88,121,4,134
AST_62,TRACK_CIRCUIT,SMT,SEC3,2.13,2019-07-26,MEDIUM,False,0.76,295,2,101
AST_63,POINT,ENGINEERING,SEC1,7.84,2012-10-16,MEDIUM,False,0.82,294,3,187
AST_64,POINT,ENGINEERING,SEC1,2.58,2018-04-20,HIGH,False,0.61,135,2,92
AST_65,INSULATOR,TRD,SEC3,1.29,2018-11-29,MEDIUM,False,0.82,193,0,145
AST_66,INSULATOR,TRD,SEC1,9.73,2010-03-02,HIGH,True,0.5,101,1,110
AST_67,SIGNAL,SMT,SEC2,1.21,2016-03-30,MEDIUM,False,0.48,227,4,122
AST_68,SIGNAL,SMT,SEC3,6.28,2016-04-05,MEDIUM,True,0.63,35,3,50
AST_69,BRIDGE,ENGINEERING,SEC1,9.86,2010-10-30,MEDIUM,False,0.77,87,1,158
AST_70,TRACK_CIRCUIT,SMT,SEC3,2.52,2012-10-27,MEDIUM,False,0.85,283,1,87
AST_71,INSULATOR,TRD,SEC3,1.05,2014-07-13,MEDIUM,True,0.59,240,1,175
AST_72,TRACK,ENGINEERING,SEC1,5.94,2014-05-23,MEDIUM,False,0.69,237,1,160
AST_73,BRIDGE,ENGINEERING,SEC2,2.84,2014-03-22,LOW,False,0.55,238,0,82
AST_74,POINT,ENGINEERING,SEC1,1.53,2014-03-07,MEDIUM,False,0.45,104,0,180
AST_75,INSULATOR,TRD,SEC4,6.97,2012-07-08,HIGH,False,0.98,13,0,143
AST_76,RELAY,SMT,SEC2,9.29,2012-04-26,MEDIUM,False,0.9,142,1,167
AST_77,OHE_MAST,TRD,SEC4,2.42,2011-07-13,LOW,False,0.45,148,3,126
AST_78,INSULATOR,TRD,SEC1,3.69,2015-08-02,HIGH,True,0.99,22,1,133
AST_79,BRIDGE,ENGINEERING,SEC1,0.03,2017-09-25,MEDIUM,False,0.65,103,0,118
AST_80,TRACK_CIRCUIT,SMT,SEC2,9.33,2019-09-01,LOW,True,0.44,69,4,121
AST_81,OHE_MAST,TRD,SEC1,2.02,2017-10-16,LOW,True,0.54,87,1,111
AST_82,TRACK,ENGINEERING,SEC2,3.92,2016-06-01,MEDIUM,False,0.94,134,0,72
AST_83,INSULATOR,TRD,SEC1,2.32,2013-06-02,MEDIUM,False,0.44,113,2,88
AST_84,CANTILEVER,TRD,SEC2,3.33,2013-04-17,MEDIUM,True,0.88,166,0,87
AST_85,TRACK,ENGINEERING,SEC1,2.48,2012-08-08,HIGH,True,0.83,14,2,123
AST_86,POINT,ENGINEERING,SEC2,5.36,2012-03-25,LOW,True,0.64,166,4,96
AST_87,POINT,ENGINEERING,SEC3,6.41,2017-09-03,MEDIUM,False,0.76,157,2,123
AST_88,TRACK_CIRCUIT,SMT,SEC4,4.24,2010-12-12,LOW,True,0.75,219,0,160
AST_89,OHE_MAST,TRD,SEC4,0.23,2010-05-07,HIGH,False,0.76,60,4,89
AST_90,POINT,ENGINEERING,SEC3,4.51,2017-11-01,MEDIUM,True,0.51,10,2,192
AST_91,BRIDGE,ENGINEERING,SEC1,7.44,2010-07-21,LOW,True,0.6,72,3,74
AST_92,RELAY,SMT,SEC2,3.46,2018-12-26,MEDIUM,False,0.75,260,2,74
AST_93,CANTILEVER,TRD,SEC1,9.15,2016-02-03,LOW,True,0.53,58,0,133
AST_94,TRACK,ENGINEERING,SEC4,4.15,2016-11-28,MEDIUM,True,0.58,233,4,172
AST_95,CANTILEVER,TRD,SEC4,4.68,2019-03-31,HIGH,False,0.74,27,0,127
AST_96,INSULATOR,TRD,SEC2,5.24,2012-09-14,MEDIUM,False,0.86,141,0,57
AST_97,BRIDGE,ENGINEERING,SEC3,7.53,2012-02-17,MEDIUM,False,0.65,96,3,81
AST_98,RELAY,SMT,SEC1,4.08,2010-11-09,MEDIUM,True,0.8,63,0,116
AST_99,OHE_MAST,TRD,SEC4,2.38,2019-07-22,LOW,False,0.76,174,4,191
AST_100,INSULATOR,TRD,SEC4,0.87,2010-11-26,HIGH,True,0.42,45,4,131
AST_101,SIGNAL,SMT,SEC3,6.25,2019-11-04,MEDIUM,False,0.75,29,4,86
AST_102,TRACK_CIRCUIT,SMT,SEC1,4.36,2018-03-07,MEDIUM,False,0.87,90,1,169
AST_103,CANTILEVER,TRD,SEC3,8.0,2017-07-31,MEDIUM,False,0.85,246,0,152
AST_104,POINT,ENGINEERING,SEC2,8.35,2015-08-14,HIGH,False,0.81,84,1,177
AST_105,POINT,ENGINEERING,SEC4,4.98,2015-09-13,MEDIUM,False,0.9,96,4,155
AST_106,SIGNAL,SMT,SEC3,9.0,2011-10-08,LOW,True,0.78,182,0,171
AST_107,TRACK_CIRCUIT,SMT,SEC4,9.59,2017-11-06,HIGH,False,0.44,276,2,162
AST_108,INSULATOR,TRD,SEC4,5.66,2010-04-08,MEDIUM,False,0.48,298,1,85
AST_109,INSULATOR,TRD,SEC3,8.42,2018-03-25,LOW,True,0.77,82,0,89
AST_110,TRACK,ENGINEERING,SEC1,7.05,2014-06-28,MEDIUM,True,0.89,238,3,151
AST_111,RELAY,SMT,SEC1,0.92,2017-11-04,HIGH,False,0.67,21,2,57
AST_112,OHE_MAST,TRD,SEC1,6.59,2016-08-18,MEDIUM,False,0.94,277,2,158
AST_113,RELAY,SMT,SEC4,7.06,2011-12-12,LOW,False,0.68,279,4,56
AST_114,BRIDGE,ENGINEERING,SEC4,1.15,2012-04-06,LOW,False,0.92,112,0,63
AST_115,INSULATOR,TRD,SEC4,1.21,2013-01-26,LOW,False,0.66,48,0,53
AST_116,POINT,ENGINEERING,SEC1,7.38,2018-11-07,LOW,False,0.54,236,1,83
AST_117,RELAY,SMT,SEC3,1.85,2013-07-21,LOW,False,1.0,38,0,111
AST_118,TRACK,ENGINEERING,SEC4,8.74,2013-06-16,MEDIUM,True,0.6,74,0,52
AST_119,POINT,ENGINEERING,SEC4,2.87,2016-06-29,LOW,False,0.57,82,0,170
AST_120,CANTILEVER,TRD,SEC1,7.86,2012-07-27,MEDIUM,False,0.93,20,4,101
AST_121,OHE_MAST,TRD,SEC3,2.31,2019-01-28,MEDIUM,True,0.51,227,0,52
AST_122,SIGNAL,SMT,SEC1,6.3,2011-12-28,LOW,False,1.0,70,2,131
AST_123,SIGNAL,SMT,SEC4,8.97,2012-02-20,MEDIUM,False,0.76,107,2,154
AST_124,INSULATOR,TRD,SEC4,4.77,2013-05-03,LOW,False,0.89,49,0,54
AST_125,INSULATOR,TRD,SEC2,4.08,2012-09-01,HIGH,False,0.43,46,3,77
AST_126,TRACK,ENGINEERING,SEC1,0.62,2013-08-17,MEDIUM,False,0.89,65,1,89
AST_127,OHE_MAST,TRD,SEC1,7.34,2010-08-04,LOW,False,0.91,68,0,62
AST_128,OHE_MAST,TRD,SEC1,9.3,2010-12-22,MEDIUM,False,0.5,244,4,107
AST_129,BRIDGE,ENGINEERING,SEC3,8.26,2019-06-28,LOW,True,0.95,91,3,51
AST_130,SIGNAL,SMT,SEC1,2.59,2015-06-09,MEDIUM,False,0.99,26,1,137
AST_131,BRIDGE,ENGINEERING,SEC4,1.07,2016-09-27,HIGH,False,0.9,69,4,71
AST_132,RELAY,SMT,SEC4,7.08,2012-07-06,LOW,False,0.43,129,2,99
AST_133,RELAY,SMT,SEC1,4.46,2012-02-02,HIGH,False,0.41,42,2,107
AST_134,CANTILEVER,TRD,SEC2,2.74,2019-03-11,LOW,True,0.91,280,4,124
AST_135,RELAY,SMT,SEC2,2.3,2019-09-01,MEDIUM,False,0.49,101,4,70
AST_136,OHE_MAST,TRD,SEC3,9.65,2014-08-10,MEDIUM,False,0.65,24,1,113
AST_137,TRACK,ENGINEERING,SEC4,3.69,2013-07-18,MEDIUM,False,0.5,154,4,102
AST_138,INSULATOR,TRD,SEC2,5.3,2016-02-25,MEDIUM,True,0.42,55,0,66
AST_139,SIGNAL,SMT,SEC2,2.26,2018-03-23,HIGH,False,0.56,81,2,113
AST_140,TRACK,ENGINEERING,SEC4,4.65,2015-07-07,MEDIUM,False,0.76,41,2,94
AST_141,TRACK,ENGINEERING,SEC4,7.8,2013-11-16,LOW,False,0.49,85,0,95
AST_142,CANTILEVER,TRD,SEC2,2.1,2017-06-13,MEDIUM,True,0.6,11,0,82
AST_143,TRACK,ENGINEERING,SEC2,0.33,2015-12-04,MEDIUM,False,0.99,99,1,192
AST_144,TRACK_CIRCUIT,SMT,SEC3,6.7,2015-03-11,MEDIUM,False,0.42,271,0,152
AST_145,OHE_MAST,TRD,SEC2,9.35,2014-09-10,MEDIUM,False,0.77,16,2,133
AST_146,TRACK_CIRCUIT,SMT,SEC2,4.52,2011-05-30,HIGH,True,0.66,21,3,190
AST_147,TRACK,ENGINEERING,SEC3,2.19,2019-12-18,MEDIUM,False,0.92,192,2,93
AST_148,TRACK_CIRCUIT,SMT,SEC2,6.53,2011-07-03,LOW,False,0.79,211,2,84
AST_149,TRACK,ENGINEERING,SEC2,0.31,2010-12-19,LOW,True,0.98,33,3,86
AST_150,TRACK_CIRCUIT,SMT,SEC1,5.14,2016-10-03,HIGH,False,0.76,271,1,164
AST_151,TRACK_CIRCUIT,SMT,SEC1,2.11,2019-01-22,MEDIUM,False,0.54,291,3,136
AST_152,TRACK_CIRCUIT,SMT,SEC2,5.13,2016-05-29,LOW,False,0.55,120,0,133
AST_153,RELAY,SMT,SEC2,6.52,2015-08-03,MEDIUM,False,0.41,173,4,96
AST_154,INSULATOR,TRD,SEC2,0.73,2010-09-27,MEDIUM,False,0.8,266,4,69
AST_155,OHE_MAST,TRD,SEC1,1.67,2015-06-27,MEDIUM,False,0.61,213,4,98
AST_156,BRIDGE,ENGINEERING,SEC3,5.58,2013-06-28,HIGH,True,0.43,29,1,78
AST_157,BRIDGE,ENGINEERING,SEC3,4.52,2012-12-18,MEDIUM,False,0.42,285,4,92
AST_158,TRACK_CIRCUIT,SMT,SEC1,6.39,2013-04-23,MEDIUM,True,0.71,160,4,101
AST_159,TRACK_CIRCUIT,SMT,SEC4,6.73,2015-07-27,HIGH,False,0.49,14,1,104
AST_160,CANTILEVER,TRD,SEC3,6.83,2015-12-02,MEDIUM,False,0.92,85,2,121
AST_161,POINT,ENGINEERING,SEC4,6.77,2018-10-24,LOW,False,0.8,99,3,112
AST_162,TRACK,ENGINEERING,SEC1,9.93,2017-09-29,LOW,False,0.84,107,4,151
AST_163,TRACK_CIRCUIT,SMT,SEC3,8.08,2016-09-10,LOW,False,0.89,98,4,192
AST_164,POINT,ENGINEERING,SEC3,5.63,2017-11-15,MEDIUM,False,0.73,111,1,60
AST_165,CANTILEVER,TRD,SEC2,6.19,2018-03-09,MEDIUM,False,0.97,126,4,61
AST_166,POINT,ENGINEERING,SEC4,5.8,2019-03-26,MEDIUM,False,0.73,30,2,129
AST_167,OHE_MAST,TRD,SEC4,9.55,2015-01-02,LOW,True,0.96,284,1,127
AST_168,TRACK,ENGINEERING,SEC4,6.7,2014-08-20,LOW,False,0.59,167,1,51
AST_169,TRACK,ENGINEERING,SEC4,8.23,2010-12-16,HIGH,False,0.51,168,0,91
AST_170,RELAY,SMT,SEC2,5.5,2013-10-31,MEDIUM,True,0.4,127,4,186
AST_171,SIGNAL,SMT,SEC3,6.11,2016-08-22,MEDIUM,False,0.86,58,1,140
AST_172,POINT,ENGINEERING,SEC4,8.23,2018-07-29,MEDIUM,False,0.86,251,4,98
AST_173,CANTILEVER,TRD,SEC1,2.17,2011-10-24,HIGH,False,0.76,169,2,187
AST_174,POINT,ENGINEERING,SEC1,5.94,2019-02-08,HIGH,True,0.76,155,2,91
AST_175,SIGNAL,SMT,SEC3,7.25,2016-11-11,LOW,True,0.46,227,1,81
AST_176,OHE_MAST,TRD,SEC2,2.65,2014-10-31,LOW,True,0.59,79,0,62
AST_177,POINT,ENGINEERING,SEC4,8.0,2019-11-20,MEDIUM,True,0.76,76,3,174
AST_178,RELAY,SMT,SEC2,6.69,2017-08-06,MEDIUM,False,1.0,295,3,57
AST_179,TRACK_CIRCUIT,SMT,SEC4,9.62,2019-09-19,MEDIUM,True,0.72,167,0,104
AST_180,BRIDGE,ENGINEERING,SEC4,3.83,2019-03-05,MEDIUM,True,1.0,257,3,114
AST_181,POINT,ENGINEERING,SEC1,0.93,2016-09-19,HIGH,False,0.48,281,3,87
AST_182,SIGNAL,SMT,SEC2,1.18,2014-08-14,MEDIUM,False,0.45,258,0,124
AST_183,CANTILEVER,TRD,SEC3,9.42,2019-09-08,MEDIUM,False,0.7,110,3,61
AST_184,OHE_MAST,TRD,SEC2,5.4,2013-12-23,MEDIUM,False,0.92,143,2,129
AST_185,CANTILEVER,TRD,SEC1,3.23,2017-03-10,HIGH,True,0.97,265,1,74
AST_186,SIGNAL,SMT,SEC1,8.62,2010-06-13,MEDIUM,True,0.94,247,4,180
AST_187,OHE_MAST,TRD,SEC2,1.46,2018-09-24,HIGH,False,0.7,88,3,61
AST_188,BRIDGE,ENGINEERING,SEC2,8.76,2018-04-25,HIGH,False,0.53,263,1,109
AST_189,INSULATOR,TRD,SEC3,0.61,2019-09-09,HIGH,True,0.69,187,4,105
AST_190,OHE_MAST,TRD,SEC3,2.39,2013-01-27,HIGH,False,0.56,272,3,146
AST_191,OHE_MAST,TRD,SEC1,6.15,2012-03-30,HIGH,False,0.91,187,4,165
AST_192,CANTILEVER,TRD,SEC4,1.95,2017-01-10,MEDIUM,False,0.51,95,4,179
AST_193,RELAY,SMT,SEC1,0.19,2017-06-01,LOW,True,0.72,74,4,131
AST_194,TRACK,ENGINEERING,SEC4,4.88,2018-05-01,MEDIUM,False,0.7,265,4,75
AST_195,TRACK_CIRCUIT,SMT,SEC4,2.43,2011-08-17,MEDIUM,False,0.64,51,4,91
AST_196,TRACK,ENGINEERING,SEC1,1.02,2018-09-27,MEDIUM,False,0.66,38,0,59
AST_197,TRACK_CIRCUIT,SMT,SEC4,9.02,2012-02-28,LOW,False,0.63,223,0,128
AST_198,BRIDGE,ENGINEERING,SEC4,8.82,2017-03-13,LOW,False,0.81,209,0,136
AST_199,OHE_MAST,TRD,SEC1,8.02,2019-09-25,HIGH,False,0.84,237,2,192
