request_id,task_id,department,corridor_id,requested_start,requested_end,block_type,status
BR000022,TASK73490,Engineering,PUNE-CSMT,2026-01-01 23:30,2026-01-02 00:54,Traffic Block,Completed
BR000023,TASK10518,Traction,NDLS-ASR,2026-01-01 23:30,2026-01-02 02:35,Power Block,Completed
BR000024,TASK53743,Engineering,BZA-SC,2026-01-01 23:45,2026-01-02 01:21,Non-Interlocking Block,Cancelled
BR000025,TASK61583,Traction,SBC-MAS,2026-01-02 00:00,2026-01-02 03:36,OHE Maintenance Block,Approved
BR000026,TASK77128,S&T,JTJ-SBC,2026-01-02 00:00,2026-01-02 04:04,Signal Maintenance Block,Rejected
BR000027,TASK52334,Engineering,BPL-JHS,2026-01-02 00:45,2026-01-02 05:32,Bridge Inspection Block,Approved
BR000028,TASK44471,S&T,UBL-PUNE,2026-01-02 00:45,2026-01-02 04:08,Signal Maintenance Block,Approved
BR000029,TASK59497,Engineering,ALD-MGS,2026-01-02 00:45,2026-01-02 01:48,Track Renewal Block,Requested
BR000030,TASK63100,S&T,BRC-ST,2026-01-02 01:15,2026-01-02 04:44,Interlocking Testing Block,Approved
BR000031,TASK85127,Engineering,NGP-BSP,2026-01-02 01:30,2026-01-02 04:59,Non-Interlocking Block,Approved
BR000032,TASK74491,Engineering,NDLS-UMB,2026-01-02 01:30,2026-01-02 03:27,Bridge Inspection Block,Approved
BR000033,TASK95027,Engineering,SBC-UBL,2026-01-02 10:00,2026-01-02 10:35,Track Renewal Block,Approved
BR000034,TASK10850,Traction,BZA-SC,2026-01-02 12:00,2026-01-02 13:50,Power Block,Approved
BR000035,TASK62683,Engineering,ST-BCT,2026-01-02 12:15,2026-01-02 12:57,Bridge Inspection Block,Approved
BR000036,TASK77723,Engineering,ST-BCT,2026-01-02 13:00,2026-01-02 13:39,Non-Interlocking Block,Approved
BR000037,TASK80705,S&T,BSP-R,2026-01-02 14:15,2026-01-02 16:13,Signal Maintenance Block,Approved
BR000038,TASK24755,Engineering,HWH-NJP,2026-01-02 22:00,2026-01-03 00:38,Traffic Block,Rejected
BR000039,TASK34232,Traction,NDLS-JHS,2026-01-02 22:00,2026-01-03 01:38,OHE Maintenance Block,Approved
BR000040,TASK31697,Engineering,ALD-MGS,2026-01-02 22:15,2026-01-03 01:13,Non-Interlocking Block,Approved
BR000041,TASK19073,Traction,BPL-JHS,2026-01-02 22:15,2026-01-03 02:29,OHE Maintenance Block,Approved
BR000042,TASK65515,Engineering,ST-BCT,2026-01-02 22:30,2026-01-03 01:09,Non-Interlocking Block,Approved
BR000043,TASK21828,Traction,NDLS-ASR,2026-01-02 22:45,2026-01-03 00:53,Traction Feed Block,Approved
BR000044,TASK35438,S&T,VSKP-BZA,2026-01-02 22:45,2026-01-03 02:29,Signal Maintenance Block,Requested
BR000045,TASK35223,Engineering,UBL-PUNE,2026-01-02 23:15,2026-01-03 01:24,Non-Interlocking Block,Approved
BR000046,TASK82571,Engineering,SC-NGP,2026-01-02 23:15,2026-01-03 03:43,Bridge Inspection Block,Approved
BR000047,TASK52075,Engineering,NDLS-GZB,2026-01-02 23:15,2026-01-03 01:31,Traffic Block,Approved
BR000048,TASK44934,S&T,JP-ADI,2026-01-02 23:30,2026-01-03 00:49,Interlocking Testing Block,Requested
BR000049,TASK10290,Engineering,DLI-JU,2026-01-02 23:30,2026-01-03 02:29,Non-Interlocking Block,Requested
BR000050,TASK36168,Engineering,BZA-MAS,2026-01-02 23:45,2026-01-03 03:38,Non-Interlocking Block,Requested
BR000051,TASK25103,Traction,SBC-MAS,2026-01-03 00:00,2026-01-03 03:45,Traction Feed Block,Approved
BR000052,TASK52730,Traction,NGP-BSP,2026-01-03 00:15,2026-01-03 04:56,OHE Maintenance Block,Approved
BR000053,TASK75922,S&T,NDLS-JHS,2026-01-03 00:15,2026-01-03 03:09,Interlocking Testing Block,Completed
BR000054,TASK48372,Engineering,SC-NGP,2026-01-03 00:45,2026-01-03 05:17,Track Renewal Block,Approved
BR000055,TASK44817,Engineering,UBL-PUNE,2026-01-03 01:15,2026-01-03 02:28,Traffic Block,Approved
BR000056,TASK91295,S&T,DLI-JU,2026-01-03 01:15,2026-01-03 05:27,Interlocking Testing Block,Completed
BR000057,TASK75285,Engineering,BSR-BPL,2026-01-03 01:15,2026-01-03 05:33,Traffic Block,Rejected
BR000058,TASK29254,Engineering,CNB-ALD,2026-01-03 11:00,2026-01-03 12:00,Track Renewal Block,Rejected
BR000059,TASK99844,S&T,SC-NGP,2026-01-03 11:45,2026-01-03 12:27,Interlocking Testing Block,Approved
BR000060,TASK80054,Engineering,ST-BCT,2026-01-03 13:15,2026-01-03 14:52,Bridge Inspection Block,Approved
BR000061,TASK13207,Engineering,CSMT-BSR,2026-01-03 13:30,2026-01-03 15:28,Traffic Block,Approved
BR000062,TASK91852,Engineering,SBC-MAS,2026-01-03 14:15,2026-01-03 14:55,Bridge Inspection Block,Approved
BR000063,TASK52516,S&T,HWH-NJP,2026-01-03 22:00,2026-01-04 00:01,Interlocking Testing Block,Approved
BR000064,TASK63111,Engineering,NDLS-ASR,2026-01-03 22:15,2026-01-03 23:23,Track Renewal Block,Approved
BR000065,TASK20755,S&T,ST-BCT,2026-01-03 22:15,2026-01-04 01:01,Cable Block,Requested
BR000066,TASK52149,Engineering,SBC-UBL,2026-01-03 22:15,2026-01-04 01:09,Bridge Inspection Block,Completed
BR000067,TASK39821,Engineering,KGP-VSKP,2026-01-03 22:30,2026-01-04 02:02,Non-Interlocking Block,Approved
BR000068,TASK87224,Engineering,CSMT-BSR,2026-01-03 23:00,2026-01-04 00:08,Bridge Inspection Block,Rejected
BR000069,TASK76416,Traction,HWH-NJP,2026-01-03 23:30,2026-01-04 01:33,Power Block,Approved
BR000070,TASK20692,Engineering,ALD-MGS,2026-01-03 23:30,2026-01-04 02:29,Non-Interlocking Block,Requested
BR000071,TASK43071,Traction,HWH-KGP,2026-01-03 23:45,2026-01-04 03:45,Traction Feed Block,Approved
BR000072,TASK95015,Traction,JP-ADI,2026-01-03 23:45,2026-01-04 01:23,Power Block,Rejected
BR000073,TASK15719,S&T,BSP-R,2026-01-03 23:45,2026-01-04 02:26,Interlocking Testing Block,Rejected
BR000074,TASK77539,Engineering,MGS-HWH,2026-01-04 00:00,2026-01-04 03:47,Traffic Block,Requested
BR000075,TASK10634,Traction,NDLS-GZB,2026-01-04 00:15,2026-01-04 05:07,Traction Feed Block,Approved
BR000076,TASK92364,S&T,NDLS-UMB,2026-01-04 00:15,2026-01-04 05:13,Signal Maintenance Block,Approved
BR000077,TASK94749,Traction,UBL-PUNE,2026-01-04 00:15,2026-01-04 04:30,OHE Maintenance Block,Rejected
BR000078,TASK55513,S&T,NGP-BSP,2026-01-04 00:15,2026-01-04 03:55,Cable Block,Approved
BR000079,TASK39862,Traction,UBL-PUNE,2026-01-04 01:00,2026-01-04 03:15,Traction Feed Block,Completed
BR000080,TASK38428,Engineering,NGP-BSP,2026-01-04 01:00,2026-01-04 03:46,Bridge Inspection Block,Requested
BR000081,TASK36670,S&T,BZA-SC,2026-01-04 01:15,2026-01-04 03:27,Signal Maintenance Block,Approved
BR000082,TASK70293,Engineering,JTJ-SBC,2026-01-04 01:30,2026-01-04 06:11,Track Renewal Block,Requested
BR000083,TASK14520,Traction,ALD-MGS,2026-01-04 01:30,2026-01-04 05:30,OHE Maintenance Block,Completed
BR000084,TASK28229,Engineering,CSMT-BSR,2026-01-04 01:30,2026-01-04 06:22,Traffic Block,Approved
BR000085,TASK52958,S&T,GZB-CNB,2026-01-04 01:45,2026-01-04 03:41,Cable Block,Approved
BR000086,TASK82554,S&T,ALD-MGS,2026-01-04 01:45,2026-01-04 06:00,Interlocking Testing Block,Requested
BR000087,TASK83070,Engineering,ALD-MGS,2026-01-04 01:45,2026-01-04 06:04,Bridge Inspection Block,Completed
BR000088,TASK54143,Engineering,PUNE-CSMT,2026-01-04 11:15,2026-01-04 12:29,Non-Interlocking Block,Rejected
BR000089,TASK22138,Engineering,JP-ADI,2026-01-04 11:15,2026-01-04 12:14,Bridge Inspection Block,Completed
BR000090,TASK32452,Engineering,ADI-BRC,2026-01-04 13:00,2026-01-04 14:19,Bridge Inspection Block,Requested
BR000091,TASK11519,Engineering,GZB-CNB,2026-01-04 13:30,2026-01-04 15:07,Traffic Block,Completed
BR000092,TASK15926,Engineering,NDLS-ASR,2026-01-04 14:00,2026-01-04 14:45,Bridge Inspection Block,Approved
BR000093,TASK66444,Traction,SBC-MAS,2026-01-04 15:15,2026-01-04 16:35,Power Block,Approved
BR000094,TASK91089,Engineering,CNB-ALD,2026-01-04 15:45,2026-01-04 16:45,Non-Interlocking Block,Approved
BR000095,TASK75688,Traction,HWH-NJP,2026-01-04 22:45,2026-01-05 01:30,Traction Feed Block,Rejected
BR000096,TASK52095,Engineering,NDLS-ASR,2026-01-04 23:30,2026-01-05 01:03,Bridge Inspection Block,Rejected
BR000097,TASK98839,S&T,KGP-VSKP,2026-01-04 23:45,2026-01-05 04:37,Cable Block,Approved
BR000098,TASK80233,S&T,NJP-GHY,2026-01-05 00:45,2026-01-05 02:09,Signal Maintenance Block,Approved
BR000099,TASK24711,Engineering,CNB-ALD,2026-01-05 01:00,2026-01-05 05:04,Non-Interlocking Block,Rejected
BR000100,TASK33202,S&T,SC-NGP,2026-01-05 01:15,2026-01-05 05:28,Cable Block,Approved
BR000101,TASK39337,Engineering,NJP-GHY,2026-01-05 01:30,2026-01-05 04:10,Track Renewal Block,Requested
BR000102,TASK41109,S&T,BZA-MAS,2026-01-05 10:30,2026-01-05 12:25,Signal Maintenance Block,Approved
BR000103,TASK97833,Engineering,PUNE-CSMT,2026-01-05 12:45,2026-01-05 13:27,Track Renewal Block,Rejected
BR000104,TASK21565,Engineering,BZA-MAS,2026-01-05 14:00,2026-01-05 15:14,Track Renewal Block,Approved
BR000105,TASK55034,Traction,JP-ADI,2026-01-05 15:00,2026-01-05 15:40,OHE Maintenance Block,Requested
BR000106,TASK60097,Engineering,GZB-CNB,2026-01-05 15:00,2026-01-05 15:59,Track Renewal Block,Approved
BR000107,TASK17936,Engineering,JTJ-SBC,2026-01-05 15:15,2026-01-05 16:42,Non-Interlocking Block,Approved
BR000108,TASK87710,Traction,BRC-ST,2026-01-05 22:00,2026-01-06 01:14,Traction Feed Block,Requested
BR000109,TASK14065,Traction,GZB-CNB,2026-01-05 22:00,2026-01-06 02:47,Traction Feed Block,Approved
BR000110,TASK93953,Engineering,BZA-SC,2026-01-05 22:00,2026-01-05 23:55,Track Renewal Block,Requested
BR000111,TASK59736,Engineering,SBC-UBL,2026-01-05 23:00,2026-01-06 00:15,Track Renewal Block,Requested
BR000112,TASK59362,S&T,ADI-BRC,2026-01-05 23:00,2026-01-06 01:15,Interlocking Testing Block,Approved
BR000113,TASK78151,Engineering,ALD-MGS,2026-01-05 23:00,2026-01-06 02:57,Bridge Inspection Block,Rejected
BR000114,TASK68222,Engineering,NDLS-ASR,2026-01-05 23:00,2026-01-06 01:29,Track Renewal Block,Approved
BR000115,TASK88683,S&T,SBC-UBL,2026-01-05 23:00,2026-01-06 01:47,Interlocking Testing Block,Approved
BR000116,TASK55763,Engineering,JP-ADI,2026-01-05 23:15,2026-01-06 02:52,Bridge Inspection Block,Cancelled
BR000117,TASK10336,Engineering,CNB-ALD,2026-01-05 23:15,2026-01-06 01:43,Bridge Inspection Block,Completed
BR000118,TASK86197,Traction,SBC-UBL,2026-01-05 23:30,2026-01-06 00:58,Traction Feed Block,Completed
BR000119,TASK91482,Traction,CNB-ALD,2026-01-06 00:00,2026-01-06 02:21,Traction Feed Block,Requested
BR000120,TASK22257,Traction,BZA-MAS,2026-01-06 00:00,2026-01-06 04:56,Power Block,Completed
BR000121,TASK62687,S&T,BPL-JHS,2026-01-06 00:00,2026-01-06 01:52,Cable Block,Approved
BR000122,TASK33699,Engineering,ST-BCT,2026-01-06 00:15,2026-01-06 02:55,Bridge Inspection Block,Approved
BR000123,TASK84002,Engineering,BSP-R,2026-01-06 00:30,2026-01-06 01:56,Bridge Inspection Block,Approved
BR000124,TASK11178,Engineering,NGP-BSP,2026-01-06 00:30,2026-01-06 02:53,Track Renewal Block,Approved
BR000125,TASK76202,Traction,NDLS-GZB,2026-01-06 00:45,2026-01-06 05:27,Traction Feed Block,Approved
BR000126,TASK38897,Engineering,HWH-KGP,2026-01-06 01:00,2026-01-06 04:33,Bridge Inspection Block,Approved
BR000127,TASK92137,S&T,ALD-MGS,2026-01-06 01:00,2026-01-06 02:03,Signal Maintenance Block,Approved
BR000128,TASK77049,Traction,SBC-UBL,2026-01-06 01:00,2026-01-06 03:12,Power Block,Approved
BR000129,TASK32731,S&T,HWH-NJP,2026-01-06 01:15,2026-01-06 04:49,Cable Block,Approved
BR000130,TASK89773,Traction,ALD-MGS,2026-01-06 13:45,2026-01-06 14:41,Traction Feed Block,Approved
BR000131,TASK81355,Engineering,MAS-JTJ,2026-01-06 22:00,2026-01-06 23:35,Non-Interlocking Block,Approved
BR000132,TASK56089,Traction,GZB-CNB,2026-01-06 22:45,2026-01-06 23:51,Traction Feed Block,Approved
BR000133,TASK73600,Engineering,NJP-GHY,2026-01-06 22:45,2026-01-07 02:13,Traffic Block,Cancelled
BR000134,TASK47759,S&T,NGP-BSP,2026-01-06 23:00,2026-01-07 03:38,Cable Block,Requested
BR000135,TASK68394,Traction,SC-NGP,2026-01-06 23:15,2026-01-07 03:09,Traction Feed Block,Requested
BR000136,TASK87885,S&T,HWH-NJP,2026-01-06 23:15,2026-01-07 00:53,Cable Block,Approved
BR000137,TASK38402,Engineering,SBC-MAS,2026-01-06 23:15,2026-01-07 03:44,Bridge Inspection Block,Completed
BR000138,TASK33748,Traction,BZA-MAS,2026-01-06 23:15,2026-01-07 01:11,Power Block,Approved
BR000139,TASK63318,S&T,GZB-CNB,2026-01-06 23:30,2026-01-07 02:23,Cable Block,Approved
BR000140,TASK90263,S&T,JU-JP,2026-01-06 23:45,2026-01-07 03:01,Interlocking Testing Block,Requested
BR000141,TASK83166,Engineering,JU-JP,2026-01-07 00:30,2026-01-07 04:06,Track Renewal Block,Approved
BR000142,TASK47952,S&T,BPL-JHS,2026-01-07 00:45,2026-01-07 02:25,Cable Block,Approved
BR000143,TASK27582,Engineering,NDLS-UMB,2026-01-07 01:00,2026-01-07 04:01,Track Renewal Block,Rejected
BR000144,TASK10733,Engineering,CNB-ALD,2026-01-07 01:15,2026-01-07 04:51,Track Renewal Block,Approved
BR000145,TASK24539,Engineering,CSMT-BSR,2026-01-07 10:45,2026-01-07 11:18,Non-Interlocking Block,Requested
BR000146,TASK25780,S&T,ST-BCT,2026-01-07 14:45,2026-01-07 15:57,Interlocking Testing Block,Approved
BR000147,TASK29176,Engineering,UBL-PUNE,2026-01-07 15:45,2026-01-07 17:10,Track Renewal Block,Cancelled
BR000148,TASK63528,Engineering,JP-ADI,2026-01-07 22:00,2026-01-07 23:05,Non-Interlocking Block,Approved
BR000149,TASK43268,S&T,SBC-MAS,2026-01-07 22:00,2026-01-08 01:43,Interlocking Testing Block,Requested
BR000150,TASK80954,Engineering,JU-JP,2026-01-07 22:00,2026-01-08 01:03,Traffic Block,Approved
BR000151,TASK49132,Engineering,DLI-JU,2026-01-07 22:00,2026-01-07 23:47,Traffic Block,Completed
BR000152,TASK33121,Engineering,NDLS-UMB,2026-01-07 22:15,2026-01-08 02:12,Bridge Inspection Block,Approved
BR000153,TASK63076,Engineering,GZB-CNB,2026-01-07 22:15,2026-01-07 23:19,Track Renewal Block,Approved
BR000154,TASK47623,Engineering,CNB-ALD,2026-01-07 22:15,2026-01-08 01:20,Traffic Block,Approved
BR000155,TASK92302,Traction,SC-NGP,2026-01-07 22:30,2026-01-08 00:43,OHE Maintenance Block,Completed
BR000156,TASK84602,Traction,BRC-ST,2026-01-07 22:30,2026-01-08 01:41,OHE Maintenance Block,Rejected
BR000157,TASK90478,S&T,SC-NGP,2026-01-07 22:30,2026-01-08 02:49,Interlocking Testing Block,Rejected
BR000158,TASK97258,Engineering,NJP-GHY,2026-01-07 22:30,2026-01-08 03:08,Non-Interlocking Block,Completed
BR000159,TASK33891,Engineering,BRC-ST,2026-01-07 22:45,2026-01-08 03:39,Traffic Block,Requested
BR000160,TASK69120,Traction,SBC-UBL,2026-01-07 22:45,2026-01-08 00:02,Power Block,Completed
BR000161,TASK17788,Traction,ADI-BRC,2026-01-07 23:00,2026-01-08 02:42,OHE Maintenance Block,Approved
BR000162,TASK75902,Engineering,MAS-JTJ,2026-01-07 23:00,2026-01-08 03:58,Track Renewal Block,Requested
BR000163,TASK96054,S&T,CSMT-BSR,2026-01-07 23:00,2026-01-08 01:20,Cable Block,Approved
BR000164,TASK10398,Engineering,ALD-MGS,2026-01-07 23:30,2026-01-08 01:33,Traffic Block,Rejected
BR000165,TASK48187,Engineering,MGS-HWH,2026-01-07 23:30,2026-01-08 02:48,Non-Interlocking Block,Requested
BR000166,TASK77996,Traction,BRC-ST,2026-01-07 23:45,2026-01-08 04:09,OHE Maintenance Block,Approved
BR000167,TASK67697,Engineering,BPL-JHS,2026-01-08 00:00,2026-01-08 01:30,Non-Interlocking Block,Completed
BR000168,TASK18668,Traction,BRC-ST,2026-01-08 00:00,2026-01-08 03:09,Power Block,Approved
BR000169,TASK91250,Engineering,GZB-CNB,2026-01-08 00:15,2026-01-08 01:57,Track Renewal Block,Approved
BR000170,TASK24447,Traction,KGP-VSKP,2026-01-08 00:15,2026-01-08 02:32,Power Block,Approved
BR000171,TASK53376,S&T,BRC-ST,2026-01-08 00:30,2026-01-08 02:27,Interlocking Testing Block,Completed
BR000172,TASK21657,Engineering,PUNE-CSMT,2026-01-08 00:45,2026-01-08 02:31,Traffic Block,Rejected
BR000173,TASK35435,S&T,BSP-R,2026-01-08 00:45,2026-01-08 04:11,Cable Block,Approved
BR000174,TASK77956,Engineering,MGS-HWH,2026-01-08 01:00,2026-01-08 05:46,Bridge Inspection Block,Approved
BR000175,TASK94152,Traction,ALD-MGS,2026-01-08 01:00,2026-01-08 05:27,OHE Maintenance Block,Approved
BR000176,TASK92484,Engineering,BPL-JHS,2026-01-08 01:30,2026-01-08 05:32,Traffic Block,Rejected
BR000177,TASK72875,Traction,NDLS-JHS,2026-01-08 01:45,2026-01-08 03:20,Traction Feed Block,Requested
BR000178,TASK62040,Engineering,BZA-MAS,2026-01-08 10:30,2026-01-08 11:54,Track Renewal Block,Completed
BR000179,TASK27787,S&T,SBC-MAS,2026-01-08 15:30,2026-01-08 17:14,Interlocking Testing Block,Completed
BR000180,TASK93370,S&T,VSKP-BZA,2026-01-08 15:30,2026-01-08 17:12,Interlocking Testing Block,Completed
BR000181,TASK49986,Engineering,NDLS-UMB,2026-01-08 15:45,2026-01-08 16:25,Non-Interlocking Block,Approved
BR000182,TASK48613,S&T,NDLS-GZB,2026-01-08 22:00,2026-01-09 01:51,Signal Maintenance Block,Approved
BR000183,TASK18310,Traction,BZA-MAS,2026-01-08 22:00,2026-01-08 23:37,Power Block,Approved
BR000184,TASK55702,Engineering,NJP-GHY,2026-01-08 22:15,2026-01-09 03:13,Track Renewal Block,Completed
BR000185,TASK55153,S&T,CNB-ALD,2026-01-08 22:15,2026-01-09 00:17,Cable Block,Rejected
BR000186,TASK15782,Engineering,MAS-JTJ,2026-01-08 22:15,2026-01-08 23:54,Track Renewal Block,Rejected
BR000187,TASK70827,Engineering,NDLS-JHS,2026-01-08 22:30,2026-01-09 01:25,Non-Interlocking Block,Approved
BR000188,TASK35126,Traction,BZA-MAS,2026-01-08 22:30,2026-01-09 02:49,OHE Maintenance Block,Approved
BR000189,TASK47348,Engineering,MAS-JTJ,2026-01-08 22:45,2026-01-09 02:33,Traffic Block,Rejected
BR000190,TASK60139,S&T,DLI-JU,2026-01-08 23:15,2026-01-09 03:40,Interlocking Testing Block,Cancelled
BR000191,TASK50540,S&T,MAS-JTJ,2026-01-08 23:30,2026-01-09 01:29,Cable Block,Approved
BR000192,TASK65871,S&T,ALD-MGS,2026-01-08 23:30,2026-01-09 00:54,Cable Block,Approved
BR000193,TASK81561,S&T,CNB-ALD,2026-01-08 23:45,2026-01-09 01:15,Interlocking Testing Block,Approved
BR000194,TASK57682,Traction,SC-NGP,2026-01-09 00:00,2026-01-09 04:46,Power Block,Approved
BR000195,TASK68273,Traction,BSP-R,2026-01-09 00:15,2026-01-09 02:44,Traction Feed Block,Approved
BR000196,TASK11751,Traction,SBC-UBL,2026-01-09 00:15,2026-01-09 02:50,OHE Maintenance Block,Approved
BR000197,TASK96741,Engineering,ST-BCT,2026-01-09 00:30,2026-01-09 03:09,Traffic Block,Approved
BR000198,TASK70087,Engineering,VSKP-BZA,2026-01-09 00:30,2026-01-09 01:38,Bridge Inspection Block,Approved
BR000199,TASK55841,Traction,BSR-BPL,2026-01-09 00:30,2026-01-09 05:22,OHE Maintenance Block,Approved
BR000200,TASK85707,Engineering,NDLS-ASR,2026-01-09 00:30,2026-01-09 03:12,Non-Interlocking Block,Approved
BR000201,TASK32683,Engineering,VSKP-BZA,2026-01-09 01:15,2026-01-09 04:02,Traffic Block,Approved
BR000202,TASK31932,Traction,NGP-BSP,2026-01-09 01:15,2026-01-09 03:46,OHE Maintenance Block,Approved
BR000203,TASK30670,S&T,JU-JP,2026-01-09 01:30,2026-01-09 04:25,Interlocking Testing Block,Approved
BR000204,TASK96089,Engineering,BSP-R,2026-01-09 01:30,2026-01-09 05:27,Bridge Inspection Block,Approved
BR000205,TASK23128,S&T,ALD-MGS,2026-01-09 11:00,2026-01-09 12:17,Cable Block,Approved
BR000206,TASK94394,Engineering,BSR-BPL,2026-01-09 12:15,2026-01-09 13:09,Non-Interlocking Block,Approved
BR000207,TASK46654,Engineering,PUNE-CSMT,2026-01-09 13:15,2026-01-09 13:58,Traffic Block,Approved
BR000208,TASK14123,S&T,SBC-UBL,2026-01-09 13:45,2026-01-09 14:19,Signal Maintenance Block,Completed
BR000209,TASK92187,Engineering,NJP-GHY,2026-01-09 14:30,2026-01-09 15:44,Bridge Inspection Block,Approved
BR000210,TASK90450,S&T,SC-NGP,2026-01-09 22:00,2026-01-09 23:44,Cable Block,Requested
BR000211,TASK15081,Engineering,ALD-MGS,2026-01-09 22:00,2026-01-10 02:40,Track Renewal Block,Approved
BR000212,TASK53577,S&T,PUNE-CSMT,2026-01-09 22:15,2026-01-10 02:34,Cable Block,Approved
BR000213,TASK21892,Engineering,UBL-PUNE,2026-01-09 22:15,2026-01-10 01:51,Bridge Inspection Block,Approved
BR000214,TASK34016,Traction,BZA-MAS,2026-01-09 22:30,2026-01-10 01:10,OHE Maintenance Block,Rejected
BR000215,TASK96770,Engineering,ADI-BRC,2026-01-09 22:30,2026-01-10 00:17,Traffic Block,Approved
BR000216,TASK40376,Traction,CSMT-BSR,2026-01-09 22:45,2026-01-10 03:42,OHE Maintenance Block,Approved
BR000217,TASK48998,S&T,MGS-HWH,2026-01-09 22:45,2026-01-10 00:23,Signal Maintenance Block,Approved
BR000218,TASK28270,Traction,CSMT-BSR,2026-01-09 22:45,2026-01-10 02:41,Power Block,Cancelled
BR000219,TASK38175,S&T,NDLS-ASR,2026-01-09 23:30,2026-01-10 03:48,Cable Block,Approved
BR000220,TASK48373,Traction,NGP-BSP,2026-01-09 23:30,2026-01-10 02:50,Power Block,Completed
BR000221,TASK44129,Engineering,VSKP-BZA,2026-01-09 23:30,2026-01-10 03:41,Non-Interlocking Block,Approved
BR000222,TASK19432,Engineering,SBC-MAS,2026-01-10 00:00,2026-01-10 02:36,Track Renewal Block,Approved
BR000223,TASK15719,Engineering,NDLS-UMB,2026-01-10 00:15,2026-01-10 03:13,Bridge Inspection Block,Approved
BR000224,TASK91683,Engineering,ALD-MGS,2026-01-10 00:45,2026-01-10 05:21,Bridge Inspection Block,Approved
BR000225,TASK20029,S&T,HWH-KGP,2026-01-10 00:45,2026-01-10 04:45,Interlocking Testing Block,Approved
BR000226,TASK30452,S&T,JTJ-SBC,2026-01-10 00:45,2026-01-10 03:27,Interlocking Testing Block,Completed
BR000227,TASK51722,Engineering,PUNE-CSMT,2026-01-10 00:45,2026-01-10 04:21,Track Renewal Block,Completed
BR000228,TASK49839,S&T,VSKP-BZA,2026-01-10 00:45,2026-01-10 03:36,Interlocking Testing Block,Requested
BR000229,TASK68910,Traction,PUNE-CSMT,2026-01-10 01:30,2026-01-10 03:56,Traction Feed Block,Approved
BR000230,TASK20820,Traction,VSKP-BZA,2026-01-10 01:45,2026-01-10 06:37,Traction Feed Block,Approved
BR000231,TASK47983,S&T,BRC-ST,2026-01-10 10:00,2026-01-10 11:54,Interlocking Testing Block,Rejected
BR000232,TASK79847,Engineering,ALD-MGS,2026-01-10 13:45,2026-01-10 15:02,Bridge Inspection Block,Requested
BR000233,TASK98950,Engineering,VSKP-BZA,2026-01-10 14:30,2026-01-10 15:01,Track Renewal Block,Approved
BR000234,TASK26061,Traction,BSR-BPL,2026-01-10 22:00,2026-01-11 01:22,Power Block,Completed
BR000235,TASK86346,Traction,CSMT-BSR,2026-01-10 22:15,2026-01-11 02:00,Power Block,Rejected
BR000236,TASK22712,Engineering,NDLS-ASR,2026-01-10 22:30,2026-01-11 03:26,Non-Interlocking Block,Approved
